"AUTHOR-WIKIDATA-ID"	"AUTHOR-WIKIDATA-LABEL"	"BOOK-ID"	"AUTHOR-WIKIDATA-REL"	"AUTHOR-GENDER"	"AUTHOR-COUNTRY"	"AUTHOR-COUNTRY-LABEL"	"NWIKIS"	"NPROPS"	"NWORDS"	"WIKI3DRANK"
"Q43423"	"Aesop"	"Q865902"	"P50"	"male"	"-"	"-"	100	39	39597	"12,123607913302"
"Q7198"	"Ovid"	"Q184742"	"P50"	"male"	"Q1747689"	"Ancient Rome"	133	46	105226	"13,135283815364"
"Q434567"	"Chariton"	"Q2972092"	"P50"	"male"	"-"	"-"	22	18	8707	"10,040028989568"
"Q313011"	"Heliodorus of Emesa"	"Q2657860"	"P50"	"male"	"-"	"-"	30	26	5894	"9,90098472779198"
"Q81731"	"Murasaki Shikibu"	"Q8269"	"P50"	"female"	"-"	"-"	142	58	64296	"12,7995749600081"
"Q264517"	"Luo Guanzhong"	"Q70806"	"P50"	"male"	"Q7313"	"Yuan dynasty"	34	17	7099	"9,98165885399571"
"Q1777502"	"Shi Nai'an"	"Q70827"	"P50"	"male"	"Q9903"	"Ming dynasty"	26	25	3002	"9,2517923160761"
"Q363836"	"Joanot Martorell"	"Q559667"	"P50"	"male"	"Q142417"	"Kingdom of Valencia"	33	19	8725	"10,1856879003296"
"Q353841"	"Fernando de Rojas"	"Q583705"	"P50"	"male"	"Q29"	"Spain"	29	23	10840	"10,3919455762297"
"Q723468"	"Garci Rodríguez de Montalvo"	"Q452075"	"P50"	"male"	"Q29"	"Spain"	15	26	5273	"9,59187258126548"
"Q1357700"	"Infante Henry of Castile"	"Q452075"	"P50"	"male"	"Q217196"	"Crown of Castile"	12	35	16494	"10,6639792865345"
"Q131018"	"François Rabelais"	"Q822290"	"P50"	"male"	"Q70972"	"Kingdom of France"	90	59	59874	"12,5742525124012"
"Q590"	"Luís de Camões"	"Q781898"	"P50"	"male"	"Q45670"	"Kingdom of Portugal"	86	51	60224	"12,5173974368139"
"Q228889"	"Wu Cheng'en"	"Q70784"	"P50"	"male"	"Q9903"	"Ming dynasty"	50	26	9194	"10,4696345068501"
"Q261627"	"John Lyly"	"Q5410723"	"P50"	"male"	"Q179876"	"Kingdom of England"	25	37	9110	"10,3426906740096"
"Q443042"	"Thomas Nashe"	"Q1588078"	"P50"	"male"	"Q145"	"United Kingdom"	24	32	10452	"10,4036132077835"
"Q1530410"	"Thomas Deloney"	"F0020"	"NOTP50"	"male"	"Q174193"	"United Kingdom of Great Britain and Ireland"	7	19	1535	"8,1932369827683"
"Q170512"	"Apuleius"	"Q1044767"	"P50"	"male"	"Q1747689"	"Ancient Rome"	71	43	39948	"12,0362616668953"
"Q5682"	"Miguel de Cervantes"	"Q480|Q2634153|Q555699"	"P50|P50|P50"	"male"	"Q217196|Q217196|Q217196"	"Crown of Castile|Crown of Castile|Crown of Castile"	175	85	149455	"13,7308614599663"
"Q315795"	"Bernal Díaz del Castillo"	"Q378485"	"P50"	"male"	"Q29"	"Spain"	29	25	18826	"10,9118704449862"
"Q31220"	"Hans Jakob Christoffel von Grimmelshausen"	"Q705839"	"P50"	"male"	"Q12548"	"Holy Roman Empire"	40	39	12402	"10,781565287683"
"Q12265620"	"Patxo Telleria"	"Q705839"	"P50"	"male"	"Q29"	"Spain"	2	17	259	"6,36257636977112"
"Q108206"	"John Bunyan"	"Q268211"	"P50"	"male"	"Q179876"	"Kingdom of England"	54	50	31102	"11,7702263908526"
"Q237090"	"Madame de Lafayette"	"Q1157010"	"P50"	"female"	"Q142"	"France"	41	46	15205	"11,0236123291367"
"Q231886"	"Aphra Behn"	"Q2453934"	"P50"	"female"	"Q179876"	"Kingdom of England"	45	63	25671	"11,6207307823599"
"Q41166"	"Jonathan Swift"	"Q2353123|Q181488|Q264143|Q2587918"	"P50|P50|P50|P50"	"male"	"Q215530|Q215530|Q215530|Q215530"	"Kingdom of Ireland|Kingdom of Ireland|Kingdom of Ireland|Kingdom of Ireland"	97	86	61089	"12,7439767144415"
"Q40946"	"Daniel Defoe"	"Q483034|Q612523|Q3825485"	"P50|P50|P50"	"male"	"Q161885|Q179876|Q161885|Q179876|Q161885|Q179876"	"Kingdom of Great Britain|Kingdom of England|Kingdom of Great Britain|Kingdom of England|Kingdom of Great Britain|Kingdom of England"	101	62	53442	"12,5327176311781"
"Q1559438"	"Eliza Haywood"	"Q1588738"	"P50"	"female"	"Q161885"	"Kingdom of Great Britain"	14	33	8690	"10,1012098116567"
"Q34190"	"Henry Fielding"	"Q784226|Q248096|Q2842656"	"P50|P50|P50"	"male"	"Q161885|Q161885|Q161885"	"Kingdom of Great Britain|Kingdom of Great Britain|Kingdom of Great Britain"	49	62	43433	"12,1041515138733"
"Q164047"	"Alexander Pope"	"Q2587918"	"P50"	"male"	"Q161885|Q179876"	"Kingdom of Great Britain|Kingdom of England"	74	59	26885	"11,8081042291706"
"Q2517940"	"Thomas Parnell"	"Q2587918"	"P50"	"male"	"Q215530"	"Kingdom of Ireland"	9	31	1642	"8,49332518606442"
"Q321660"	"John Gay"	"Q2587918"	"P50"	"male"	"Q161885"	"Kingdom of Great Britain"	31	36	7805	"10,2654328576514"
"Q332499"	"Robert Harley, 1st Earl of Oxford and Earl Mortimer"	"Q2587918"	"P50"	"male"	"Q179876"	"Kingdom of England"	14	54	10795	"10,4708806729691"
"Q435816"	"John Arbuthnot"	"Q2587918"	"P50"	"male"	"Q161885"	"Kingdom of Great Britain"	21	45	10997	"10,5263852502034"
"Q295941"	"Samuel Richardson"	"Q2048624|Q980534"	"P50|P50"	"male"	"Q179876|Q161885|Q161885|Q179876"	"Kingdom of England|Kingdom of Great Britain|Kingdom of Great Britain|Kingdom of England"	44	37	22713	"11,3286535915572"
