BOOK-TITLE	BOOK-ID	ID-TYPE	BOOK-WIKIDATA-LABEL-EN	BOOK-WIKIDATA-LABEL-ES	BOOK-LANGUAGE-ID	BOOK-LANGUAGE-LABEL	BOOK-LANGUAGE-CODE	BOOK-COUNTRY	BOOK-COUNTRY-LABEL	OBSERVATIONS	INCEPTION-DATE	PUBLICATION-DATE	INSTANCEOF-ID	INSTANCEOF-LABEL	FORM-ID	FORM-LABEL	BOOK-GENRE-ID	BOOK-GENRE-LABEL	AUTHOR-ID	AUTHOR-NAME	AUTHOR-WIKIDATA-REL	AUTHOR-WIKIDATA-ID	AUTHOR-WIKIDATA-LABEL	NWIKIS	NPROPS	NWORDS	WIKI3DRANK	NL	NO	HU	RU	RO	DK	PL	KO	JP	ES	IT	FR	DE	CZ	PT	ZH	EN-2006	EN-2008	EN-2010	EN-2012	EN-2018
Aesop's Fables	Q865902	item	Aesop's Fables	fábulas de Esopo	Q35497	Ancient Greek	grc			Grupo de historias			Q17518870	group of literary works					Q43423	Aesopus	P50	Q43423	Aesop	51	7	43026	11.5661751532167			y										y				y				
Metamorphoses	Q184742	item	Metamorphoses	Las metamorfosis	Q397|Q253854	Latin|Classical Latin	la|lat-cla	Q1747689|Q2277	Ancient Rome|Roman Empire		1		Q7725634	literary work	Q5185279	poem	Q37484	epic poem	Q7198	Ovid	P50	Q7198	Ovid	61	117	47535	12.4807554317238			y			y							y				y				
Chaireas and Kallirhoe	Q2972092	item	Chaereas and Callirhoe	Acerca de Chairean y Kallirroin	Q35497	Ancient Greek	grc	Q11772	Ancient Greece				Q7725634	literary work	Q8261	novel	Q2246055	Ancient Greek novel	Q434567	Chariton	P50	Q434567	Chariton	9	9	11355	9.88902072057723			y										y				y				
An Ethiopian Romance  	Q2657860	item	Aethiopica	Aethiopica	Q35497	Ancient Greek	grc	Q2277	Roman Empire			300	Q7725634	literary work	Q8261	novel	Q2246055	Ancient Greek novel	Q313011	Heliodorus	P50	Q313011	Heliodorus of Emesa	12	9	10084	9.84211454979671			y										y				y				
The Thousand and One Nights	Q8258	item	One Thousand and One Nights	Las mil y una noches	Q13955	Arabic	ar	Q48214	Near East				Q7725634	literary work					**Anonymous**	**Anonymous**	P50	**Anonymous**	**Anonymous**	129	53	124059	13.3102622355907	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y
The Tale of the Bamboo Cutter	Q923593	item	The Tale of the Bamboo Cutter	Kaguya	Q182695	Early Middle Japanese	ja	Q17	Japan		1000		Q7725634	literary work	Q49084	short story	Q11385322	tsukuri monogatari	**Anonymous**	**Anonymous**	P50	**Anonymous**	**Anonymous**	35	21	32777	11.4238533183549	y	y		y	y	y	y	y	y		y	y		y	y	y		y	y	y	y
The Tale of Genji	Q8269	item	The Tale of Genji	El relato de Genji	Q182695	Early Middle Japanese	ja	Q17	Japan		1010		Q7725634	literary work			Q11385322	tsukuri monogatari	Q81731	Murasaki, Shikibu	P50	Q81731	Murasaki Shikibu	99	135	76570	13.1077723047686	y	y		y	y	y	y	y	y	y	y	y		y	y	y		y	y	y	y
Romance of the Three Kingdoms	Q70806	item	The Romance of the Three Kingdoms	Romance de los Tres Reinos	Q3110592	written Chinese language	lzh	Q7313|Q9903	Yuan dynasty|Ming dynasty			1350	Q47461344	written work			Q908667|Q192239	war novel|historical novel	Q264517	Luo, Guanzhong 	P50	Q264517	Luo Guanzhong	60	52	62487	12.4340011108102	y	y		y	y	y	y	y	y		y	y		y	y	y		y	y	y	y
The Water Margin	Q70827	item	Water Margin	Bandidos del pantano	Q783605	written vernacular Chinese	zh	Q7313|Q9903	Yuan dynasty|Ming dynasty			1400	Q7725634	literary work			Q192239|Q319226	historical novel|adventure novel	Q1777502	Shi, Nai'an 	P50	Q1777502	Shi Nai'an	52	32	31668	11.6353981973206	y	y		y	y	y	y	y	y			y		y	y	y		y	y	y	y
Tirant lo Blanc	Q559667	item	Tirant lo Blanc	Tirante el Blanco	Q7026	Catalan	ca	Q142417	Kingdom of Valencia		1460	1490	Q47461344	written work			Q3440922	Chivalric novel	Q363836	Martorell, Joanot	P50	Q363836	Joanot Martorell	27	19	14955	10.6059052789808	y	y		y	y	y	y	y	y	y		y		y	y	y		y	y	y	y
