	United Kingdom	United States of America	France	Spain	Italy	Germany	Russia	Brazil	Kingdom of the Netherlands	Denmark	Republic of Ireland	Austria	Norway	India	Argentina	Canada	Greece	Poland	Japan	Belgium	Czech Republic	Mexico	Australia	People's Republic of China	Portugal	Sweden	South Africa	-	Hungary	Cuba	Switzerland	Yugoslavia	Uruguay	Peru	Ukraine	Turkey	Finland	Colombia	Bulgaria	Nigeria	Chile	South Korea	Republic of Geneva	Romania	Egypt	United Arab Republic	Israel	Trinidad and Tobago	Senegal	Dominican Republic	statelessness	Venezuela	Guatemala	Basutoland	Dominica	Paraguay	Iceland	Iran	Mandatory Palestine	Guinea	Lithuania	New Zealand	Kenya	Sudan	Botswana	Albania	Kosovo	Estonia	Serbia	Zimbabwe	Vietnam	Jamaica	Pakistan	Ecuador	Honduras	Mali	Algeria	Mauritius	Belarus	Kuru Kingdom
NL	17.0	14.1	6.5	3.2	3.1	3.7	3.2	0.4	3.6	0.2	2.1	2.0	0.6	1.6	0.5	1.6	0.5	1.2	1.4	0.9	0.9	0.7	1.1	0.6	0.6	0.8	0.7	0.3	0.7	0.4	0.5	0.6	0.3	0.4	0.3	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0	0	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
NO	17.2	13.5	6.8	3.4	3.0	3.3	3.1	0.5	1.4	0.4	2.2	2.3	2.3	1.4	0.8	1.5	0.7	1.3	1.3	0.6	0.9	0.6	1.0	0.7	0.6	0.8	0.9	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.4	0.4	0.3	0.3	0.3	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0
HU	17.6	13.6	5.7	0.6	2.4	2.2	2.2	0.3	0.6	0.2	2.5	1.1	0.1	0.7	0.1	0.7	0.2	0.6	0.7	0.2	0.7	0.2	0.6	0	0.2	0.3	0.4	0.6	0.6	0.2	0.4	0.1	0.1	0.1	0.2	0	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0	0	0	0	0.2	0	0.1	0.1	0	0	0	0.1	0.1	0.1	0	0	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0.1	0	0.1	0	0	0	0	0	0	0	0
RU	17.1	13.5	6.7	3.6	3.3	3.4	3.2	0.5	1.4	0.2	2.3	2.4	0.5	1.6	0.8	1.5	0.7	1.4	1.4	0.6	1.0	0.7	0.8	0.7	0.6	0.8	1.0	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.4	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
RO	17.1	13.4	6.8	3.6	3.3	3.4	3.2	0.5	1.5	0.2	2.3	2.4	0.5	1.6	0.8	1.5	0.7	1.4	1.4	0.6	0.9	0.7	0.8	0.7	0.6	0.8	0.9	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.4	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0	0.1	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
DK	16.1	13.3	6.8	3.0	3.5	3.5	3.0	0.5	1.2	3.0	2.0	2.1	0.7	1.5	0.6	1.4	1.2	1.3	1.3	0.6	0.9	0.7	1.0	0.6	0.6	0.8	0.7	0.3	0.7	0.4	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0.1
PL	17.7	13.5	7.0	3.4	3.2	3.6	3.2	0.5	1.3	0.2	2.1	2.2	0.5	1.6	0.6	1.6	0.6	1.4	1.3	0.6	1.0	0.7	1.1	0.7	0.6	0.8	0.7	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.4	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0
KO	17.0	14.7	7.0	3.2	3.1	3.5	3.3	0.5	1.3	0.2	2.1	2.2	0.5	1.6	0.5	1.6	0.6	1.4	1.4	0.6	0.9	0.7	1.1	0.5	0.6	0.8	0.7	0.3	0.7	0.5	0.5	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.3	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0.1	0
JP	17.1	14.3	7.0	3.3	3.1	3.7	3.1	0.5	1.3	0.2	2.1	2.2	0.5	1.6	0.5	1.6	0.6	1.3	1.4	0.6	0.9	0.7	1.1	0.6	0.6	0.8	0.7	0.3	0.7	0.5	0.4	0.6	0.3	0.4	0.4	0.3	0.4	0.3	0.3	0.2	0.2	0.2	0.1	0.2	0.2	0.2	0.2	0.2	0.2	0.2	0.1	0	0	0.1	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0	0	0	0
ES	15.9	13.1	6.9	8.9	2.9	3.1	2.9	0.6	0.9	0.2	2.0	2.0	0.2	1.2	1.6	1.1	0.4	1.2	1.3	0.6	1.0	1.1	0.9	0.3	0.6	0.7	0.5	0.2	0.6	0.7	0.5	0.5	0.4	0.5	0.3	0.2	0.1	0.4	0.3	0.3	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0	0.2	0.1	0.2	0.2	0.1	0.1	0	0.1	0.1	0	0	0.1	0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0	0	0	0
