COUNTRY-ID,COUNTRY-LABEL,TOTAL,NOR-COUNTRY-AUTH-ID
Q9903,Ming dynasty,2,Q148
Q963,Botswana,1,
Q96,Mexico,13,
Q954,Zimbabwe,1,
Q912,Mali,1,
Q884,South Korea,3,
Q881,Vietnam,1,
Q8733,Qing dynasty,1,Q148
Q8680,British Empire,2,Q145
Q844930,Classical Athens,5,Q41
Q843,Pakistan,2,
Q83286,Socialist Federal Republic of Yugoslavia,7,Q36704
Q801,Israel,3,
Q794,Iran,1,
Q79,Egypt,5,
Q786,Dominican Republic,5,
Q784,Dominica,3,
Q783,Honduras,1,
Q774,Guatemala,2,
Q77,Uruguay,5,
Q766,Jamaica,1,
Q756617,Kingdom of Denmark,14,Q35
Q754,Trinidad and Tobago,4,
Q739,Colombia,7,
Q736,Ecuador,1,
Q733,Paraguay,1,
Q7318,Nazi Germany,7,Q183
Q7313,Yuan dynasty,1,Q148
Q717,Venezuela,2,
Q713750,West Germany,2,Q183
Q71084,First French Empire,2,Q142
Q70972,Kingdom of France,8,Q142
Q668,India,22,
Q664,New Zealand,2,
Q58296,French First Republic,2,Q142
Q533534,Cisleithania,7,Q40
Q47588,Basque Country,1,Q29
Q457167,West Ukrainian People's Republic,1,Q212
Q45670,Kingdom of Portugal,5,Q45
Q4533605,South Russia,1,Q159
Q45,Portugal,15,
Q43287,German Empire,11,Q183
Q43,Turkey,6,
Q42585,Kingdom of Bohemia,1,Q183
Q42406,English people,1,Q145
Q419,Peru,8,
Q414,Argentina,27,
Q41304,Weimar Republic,9,Q183
Q41,Greece,11,
Q408,Australia,24,
Q403,Serbia,1,
Q40,Austria,27,
Q391980,Free Territory of Trieste,1,Q38
Q39,Switzerland,11,
Q38,Italy,38,
Q370173,Sultanate of Egypt,4,Q79
Q37,Lithuania,2,
Q36704,Yugoslavia,2,
Q36,Poland,15,
Q35,Denmark,34,
Q34266,Russian Empire,50,Q159
Q34,Sweden,11,
Q33946,Czechoslovakia,18,Q213
Q33,Finland,4,
Q31747,Irish Free State,1,Q27
Q31,Belgium,17,
Q3087763,Republic of Egypt,5,Q79
Q30,United States of America,313,
Q29999,Kingdom of the Netherlands,44,
Q298,Chile,5,
Q29,Spain,126,
Q28513,Austria-Hungary,12,Q40
Q28,Hungary,7,
Q27306,Kingdom of Prussia,6,Q159
Q27,Republic of Ireland,58,
Q262,Algeria,1,
Q258,South Africa,22,
Q2577303,Kingdom of Sardinia,1,Q38
Q25395037,Kingdom of Hungary,2,Q28
Q25227,Netherlands Antilles,1,Q29999
Q25,Wales,4,Q145
Q243610,Ukrainian People's Republic,2,Q212
Q241,Cuba,10,
Q2340665,Basutoland,1,
Q23366230,Republic of Geneva,5,
Q2305208,Russian Socialist Federative Soviet Republic,5,Q159
Q2252973,Duchy of Florence,1,Q38
Q224,Croatia,2,
Q223050,statelessness,5,
Q222,Albania,3,
Q219,Bulgaria,3,
Q2184,Russian Soviet Federative Socialist Republic,2,Q159
Q218,Romania,2,
Q217230,Empire of Brazil,2,Q155
Q217196,Crown of Castile,7,Q29
Q216173,Free City of Danzig,3,Q36
Q215530,Kingdom of Ireland,8,Q27
Q213,Czech Republic,9,
Q212,Ukraine,7,
Q21,England,6,Q145
Q209857,Kingdom of LombardyVenetia,1,Q38
Q207272,Second Polish Republic,9,Q36
Q204920,Crown of Aragon,1,Q29
Q2046345,Colonial Nigeria,2,Q1033
Q203493,Kingdom of Romania,1,Q218
Q20,Norway,27,
Q193714,Mandatory Palestine,1,
Q191077,Kingdom of Yugoslavia,3,Q36704
Q191,Estonia,3,
Q189,Iceland,1,
Q184,Belarus,1,
Q183,Germany,44,
Q179876,Kingdom of England,16,Q145
Q178038,Second Spanish Republic,1,Q38
Q1775277,Dominion of India,4,Q668
Q1747689,Ancient Rome,4,Q38
Q174193,United Kingdom of Great Britain and Ireland,126,Q145
Q173065,Kingdom of Naples,1,Q38
Q172579,Kingdom of Italy,36,Q38
Q170468,United Arab Republic,5,
Q170072,Dutch Republic,2,Q29999
Q17,Japan,24,
Q16957,German Democratic Republic,8,Q183
Q161885,Kingdom of Great Britain,39,Q145
Q16,Canada,25,
Q159631,Kingdom of Württemberg,1,Q183
Q159,Russia,6,
Q1568260,Ionian League,2,Q41
Q156199,Electorate of Saxony,1,Q183
Q155570,Saxe-Weimar-Eisenach,3,Q183
Q155,Brazil,46,
Q154849,Grand Duchy of Tuscany,1,Q38
Q153529,Duchy of Milan,1,Q38
Q153015,Kingdom of Saxony,1,Q183
Q15180,Soviet Union,18,Q159
Q1508143,Ukrainian State,1,Q212
Q148540,Republic of Florence,2,Q38
Q148,People's Republic of China,6,
Q145,United Kingdom,307,
Q142417,Kingdom of Valencia,1,Q29
Q142,France,170,
Q133356,Ukrainian Soviet Socialist Republic,1,Q212
Q131964,Austrian Empire,3,Q40
Q129286,British Raj,7,Q668
Q1290149,Federal People's Republic of Yugoslavia,2,Q36704
Q127861,Khedivate of Egypt,4,Q79
Q1277557,Democratic Federal Yugoslavia,2,Q36704
Q12560,Ottoman Empire,1,Q43
Q12548,Holy Roman Empire,1,Q183
Q124943,Kingdom of Egypt,5,Q79
Q1246,Kosovo,3,
Q115,Ethiopia,1,
Q114,Kenya,3,
Q1068408,Kuru Kingdom,1,
Q1049,Sudan,1,
Q1041,Senegal,2,
Q1033,Nigeria,5,
Q1029,Mozambique,1,
Q1027,Mauritius,1,
Q1006,Guinea,1,
-,-,11,
