BOOK-ID	BOOK-WIKIDATA-LABEL-EN	NWIKIS	NPROPS	NWORDS	WIKI3DRANK
Q1845	La biblia	0	0	0	0.0
Q35160	Odisea	123	113	140884	13.646402252430976
Q320713	Cantar del mio Cid	50	24	42280	11.802012608580863
Q335367	Tristán e Isolda	0	0	0	0.0
Q40185	Divina comedia	102	241	152925	13.932625611482445
Q16438	El decamerón	67	92	65547	12.702312233346655
Q16765210	La ciudad de las damas	3	11	1468	7.82781927517754
Q3227637	Poesías/Baladas de F. Villón	0	0	0	0.0
Q583705	La Celestina	33	19	47678	11.723946492685636
Q1517519	El cortesano	0	0	0	0.0
Q131719	EL príncipe	72	19	82696	12.473627889103415
Q404158	Utopía	0	0	0	0.0
Q770895	Lazarillo de Tormes	37	19	38526	11.562929797150616
Q624852	Ensayos de Montaigne	20	14	29845	11.080210875505069
Q83186	Romeo y Julieta	101	107	165911	13.703072751561713
Q104871	Sueño de una noche de verano	63	66	69090	12.615316229983728
Q206400	El mercader de Venecia	52	48	66919	12.424549480296655
Q631855	Enrique IV	27	18	36586	11.409635263324654
Q221211	Noche de reyes	47	47	47287	12.076272002537841
Q41567	Hamlet	95	168	136476	13.673112871243742
Q506865	Bien está lo que bien acaba	31	19	22043	11.000075115017383
Q26833	Otelo	72	38	57645	12.328699827232684
Q181598	El rey Lear	71	62	91209	12.879939750269696
Q480	Don Quijote	123	113	121376	13.517118805992178
Q130283	Macbeth	77	119	103864	13.240961496986776
Q2608537	Fuente Ovejuna	12	31	7156	9.867671251373055
Q469755	Anatomía de la melancolía	0	0	0	0.0
Q913656	La ciudad del sol	0	0	0	0.0
Q1233830	Nueva Atlántida	0	0	0	0.0
Q193034	Leviatán	0	0	0	0.0
Q1219041	Las preciosas ridículas	21	15	13480	10.376105631632916
Q3232857	Los inoportunos	5	14	1188	7.789905523024284
Q205875	Tartufo	45	38	36818	11.77367927505978
Q2044613	El amor médico	6	13	2700	8.554703617555624
Q1053387	El misántropo	32	28	19808	11.02058703025157
Q1054372	El burgués gentilhombre	23	33	17318	10.852845029476887
Q28754	Paraiso perdido Milton	57	36	56438	12.21595521042183
Q205921	Principia Mathematica	0	0	0	0.0
Q231949	Segundo tratado sorbe el gobierno civil	0	0	0	0.0
Q482438	Ensayo sobre el entendimiento humano	21	11	16892	10.511555782042498
	La pequeña diferencia	0	0	0	0.0
Q1171104	La fábula de las abejas	10	9	9078	9.701117458172606
Q483034	Robinson Crusoe	85	75	63609	12.685885693404149
Q1472110	La opera de los mendigos	23	20	16370	10.654695150855265
Q2048624	Pamela	16	17	12831	10.289179769495824
Q1218663	Las joyas indiscretas	0	0	0	0.0
Q514727	El espíritu de las leyes	0	0	0	0.0
Q1395765	Fanny Hill	25	17	19495	10.79553734169871
Q129450	Discurso sobre las ciencias y las artes, Rousseau	0	0	0	0.0
Q1164083	Tristram Shandy	28	17	20105	10.85710474798434
Q1336786	El sobrino de Rameau	14	47	7481	10.0940918276852
Q129289	Julia o la nueva Eloísa	21	76	12312	10.822645367732656
Q913599	Emilio o la educación	35	33	31012	11.499440690890538
Q190126	El contrato social	0	0	0	0.0
Q151883	Las desventuras del joven Werther	52	82	43598	12.223394027600035
Q233562	Investigación sobre la naturaleza y las causas de la riqueza de las naciones	53	16	70914	12.193889963889319
Q862050	Pierre Ambroise Francçois: Las amistades peligrosas	29	72	20803	11.350658892313506
Q649013	Memorias, Casanova	7	12	6874	9.432481055973787
Q1329470	Justine o los infortunios de la virtud	22	34	14163	10.669393548871943
Q300646	Vindicación de los derechos de la mujer	33	14	43263	11.563996084844867
