	United Kingdom	United States of America	France	Spain	Italy	Germany	Russia	Brazil	Kingdom of the Netherlands	Denmark	Republic of Ireland	Austria	Norway	India	Argentina	Canada	Greece	Poland	Japan	Belgium	Czech Republic	Mexico	Australia	People's Republic of China	Portugal	Sweden	South Africa	-	Hungary	Cuba	Switzerland	Yugoslavia	Uruguay	Peru	Ukraine	Turkey	Finland	Colombia	Bulgaria	Nigeria	Chile	South Korea	Republic of Geneva	Romania	Egypt	United Arab Republic	Israel	Trinidad and Tobago	Senegal	Dominican Republic	statelessness	Venezuela	Guatemala	Basutoland	Dominica	Paraguay	Iceland	Iran	Mandatory Palestine	Guinea	Lithuania	New Zealand	Kenya	Sudan	Botswana	Albania	Kosovo	Estonia	Serbia	Zimbabwe	Vietnam	Jamaica	Pakistan	Ecuador	Honduras	Mali	Algeria	Mauritius	Belarus	Kuru Kingdom
NL	161	134	62	30	29	35	30	4	34	2	20	19	6	15	5	15	5	11	13	9	9	7	10	6	6	8	7	3	7	4	5	6	3	4	3	3	4	3	3	2	2	2	1	2	2	2	2	2	2	2	2	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
NO	170	134	67	34	30	33	31	5	14	4	22	23	23	14	8	15	7	13	13	6	9	6	10	7	6	8	9	3	7	5	5	6	3	4	4	4	4	3	3	3	2	2	1	2	2	2	2	2	2	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
HU	159	123	51	5	22	20	20	3	5	2	23	10	1	6	1	6	2	5	6	2	6	2	5	0	2	3	4	5	5	2	4	1	1	1	2	0	1	1	1	1	1	2	1	0	0	0	0	2	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0
RU	162	128	63	34	31	32	30	5	13	2	22	23	5	15	8	14	7	13	13	6	9	7	8	7	6	8	9	3	7	5	5	6	3	4	4	4	4	3	3	2	2	2	1	2	2	2	2	2	2	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
RO	162	127	65	34	31	32	30	5	14	2	22	23	5	15	8	14	7	13	13	6	9	7	8	7	6	8	9	3	7	5	5	6	3	4	4	4	4	3	3	2	2	2	1	2	2	2	2	2	2	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
DK	162	134	68	30	35	35	30	5	12	30	20	21	7	15	6	14	12	13	13	6	9	7	10	6	6	8	7	3	7	4	5	6	3	4	4	3	4	3	3	2	2	2	1	2	2	2	2	2	2	2	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1
PL	168	128	66	32	30	34	30	5	12	2	20	21	5	15	6	15	6	13	12	6	9	7	10	7	6	8	7	3	7	5	5	6	3	4	4	4	4	3	3	2	2	2	1	2	2	2	2	2	2	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
KO	161	139	66	30	29	33	31	5	12	2	20	21	5	15	5	15	6	13	13	6	9	7	10	5	6	8	7	3	7	5	5	6	3	4	4	3	4	3	3	2	2	3	1	2	2	2	2	2	2	2	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	0
JP	162	136	66	31	29	35	29	5	12	2	20	21	5	15	5	15	6	12	13	6	9	7	10	6	6	8	7	3	7	5	4	6	3	4	4	3	4	3	3	2	2	2	1	2	2	2	2	2	2	2	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
ES	149	123	65	83	27	29	27	6	8	2	19	19	2	11	15	10	4	11	12	6	9	10	8	3	6	7	5	2	6	7	5	5	4	5	3	2	1	4	3	3	3	1	1	1	1	1	1	2	0	2	1	2	2	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
IT	165	128	69	35	35	33	30	5	13	2	20	23	5	15	5	15	7	13	13	7	9	6	10	4	5	8	6	5	5	5	5	6	3	4	4	3	4	3	3	2	2	2	1	2	2	2	2	2	2	1	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0
FR	150	130	103	31	32	34	32	5	11	2	18	23	5	14	4	15	6	12	13	6	9	7	10	5	6	8	7	4	5	5	5	5	3	4	3	2	4	3	3	2	2	2	2	2	2	2	2	2	2	2	1	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0
DE	165	129	50	5	22	20	20	3	5	2	24	9	1	6	1	7	2	5	6	3	6	2	5	0	2	3	4	5	6	2	4	2	1	1	2	0	1	1	1	1	1	2	1	0	0	0	0	2	0	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0
CZ	163	131	66	30	29	35	30	5	12	2	21	21	5	15	6	15	6	13	13	6	9	7	10	6	6	8	7	3	7	5	5	6	3	4	4	3	4	3	3	2	2	2	1	2	2	2	2	2	2	2	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
PT	158	130	64	29	27	34	27	34	12	2	21	20	5	15	5	13	5	12	12	5	9	7	10	6	9	8	5	3	7	4	4	5	3	4	4	2	4	3	2	1	2	2	1	2	2	2	2	2	2	2	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0
ZH	163	132	65	31	30	34	30	5	12	2	22	21	5	15	6	15	6	13	13	6	9	7	10	8	6	8	7	3	7	5	5	6	3	4	4	3	4	3	3	2	2	2	1	2	2	2	2	2	2	2	1	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0
