Edition	Total	Male	% Male	Female	% Female	Others	% Others	Anonymous	% Anonymous
NL	 1000	 797	 79.7	 208	 20.8	 2	 0.2	 3	 0.3
NO	 1038	 837	 80.64	 206	 19.85	 1	 0.1	 4	 0.39
HU	 940	 751	 79.89	 196	 20.85	 1	 0.11	 1	 0.11
RU	 995	 810	 81.41	 190	 19.1	 1	 0.1	 3	 0.3
RO	 1001	 817	 81.62	 190	 18.98	 1	 0.1	 3	 0.3
DK	 1062	 850	 80.04	 216	 20.34	 1	 0.09	 5	 0.47
PL	 997	 802	 80.44	 201	 20.16	 1	 0.1	 3	 0.3
KO	 993	 785	 79.05	 213	 21.45	 2	 0.2	 3	 0.3
JP	 997	 798	 80.04	 205	 20.56	 1	 0.1	 3	 0.3
ES	 998	 825	 82.67	 177	 17.74	 1	 0.1	 3	 0.3
IT	 1000	 810	 81.0	 197	 19.7	 1	 0.1	 3	 0.3
FR	 1001	 812	 81.12	 194	 19.38	 1	 0.1	 3	 0.3
DE	 990	 792	 80.0	 205	 20.71	 1	 0.1	 1	 0.1
CZ	 998	 799	 80.06	 205	 20.54	 1	 0.1	 3	 0.3
PT	 998	 809	 81.06	 195	 19.54	 1	 0.1	 3	 0.3
ZH	 995	 796	 80.0	 205	 20.6	 1	 0.1	 3	 0.3
EN-2006	 999	 798	 79.88	 208	 20.82	 1	 0.1	 1	 0.1
EN-2008	 1001	 805	 80.42	 202	 20.18	 1	 0.1	 3	 0.3
EN-2010	 1001	 802	 80.12	 205	 20.48	 1	 0.1	 3	 0.3
EN-2012	 1001	 799	 79.82	 208	 20.78	 1	 0.1	 3	 0.3
EN-2018	 1003	 797	 79.46	 211	 21.04	 2	 0.2	 3	 0.3
ALL-EN	 705	 569	 80.71	 142	 20.14	 1	 0.14	 1	 0.14
ANY-EN	 1316	 1039	 78.95	 283	 21.5	 2	 0.15	 3	 0.23
NOT-EN	 1713	 1396	 81.49	 322	 18.8	 2	 0.12	 6	 0.35
ONLY-NOT-EN	 402	 359	 89.3	 42	 10.45	 0	 0.0	 3	 0.75
ONLY-EN	 5	 2	 40.0	 3	 60.0	 0	 0.0	 0	 0.0
MICROCANON	 522	 424	 81.23	 102	 19.54	 1	 0.19	 1	 0.19
MACROCANON	 1718	 1398	 81.37	 325	 18.92	 2	 0.12	 6	 0.35
