	en	fr	es	de	pt	it	nl	da	ru	no	jp	el	ca	sv	cs	pl	zh	la	ar	sco	hu	sh	sr	gl	eu	he	fi	sq	ko	tr	gd	bg	ro	hr	is	sl	ki	af	et	bn	st	hy	cy	sw	fa	ga	yi	uk	ta	vi	qui	akk	sa
NL	53.003	10.537	5.901	8.325	1.475	3.793	4.215	0.211	2.95	0.738	1.791	0.632	0.316	1.159	0.843	0.738	0.738	0.105	0.527	0.211	0.527	0.421	0.421	0.105	0.211	0.316	0.316	0.211	0.211	0.105	0.105	0.211	0.211	0.211	0.105	0.211	0.105	0.211	0.105	0.105	0.105	0.105	0.105	0.105	0.105	0	0.105	0.105	0	0.105	0	0	0
NO	52.477	10.718	6.572	7.988	1.618	3.64	1.82	0.404	3.033	2.326	1.719	0.809	0.202	1.112	0.809	0.91	0.708	0.101	0.506	0.303	0.506	0.404	0.404	0.101	0.202	0.303	0.303	0.303	0.202	0.303	0.101	0.202	0.202	0.202	0.202	0.202	0.101	0.202	0.202	0.101	0.101	0.101	0.101	0.101	0.101	0	0.101	0.101	0	0.101	0	0	0
HU	71.064	10.532	1.552	6.43	0.776	2.882	0.554	0.222	3.326	0.222	0.776	0.443	0	0.665	0.665	0.222	0	0.333	0.111	0.665	0.443	0.111	0.222	0	0	0	0	0.111	0.222	0	0.222	0	0	0	0.111	0	0.222	0	0	0	0	0	0	0.111	0	0.111	0	0	0.111	0	0	0	0
RU	53.115	10.771	6.969	8.237	1.69	3.907	1.795	0.211	3.273	0.634	1.795	0.845	0.211	1.162	0.845	0.95	0.739	0.106	0.528	0.317	0.528	0.422	0.422	0.106	0.211	0.211	0.317	0.317	0.211	0.211	0.106	0.211	0.211	0.211	0.106	0.211	0.106	0.106	0.106	0.106	0.106	0.106	0.106	0.106	0.106	0	0.106	0.106	0	0.106	0	0	0
RO	52.737	11.053	6.947	8.211	1.684	3.895	1.895	0.211	3.158	0.632	1.789	0.842	0.211	1.158	0.842	0.947	0.737	0.105	0.526	0.316	0.526	0.421	0.421	0.105	0.211	0.211	0.316	0.316	0.211	0.211	0.105	0.211	0.211	0.211	0.105	0.211	0.105	0.211	0.211	0.105	0.105	0.105	0.105	0.105	0.105	0	0.105	0.105	0	0.105	0	0	0
DK	51.195	10.757	5.876	7.968	1.793	3.884	1.594	3.785	2.888	0.598	1.693	1.494	0.199	1.096	0.797	0.896	0.697	0.697	0.498	0.199	0.498	0.398	0.398	0.1	0.199	0.299	0.299	0.299	0.199	0.1	0.1	0.199	0.199	0.199	0.199	0.199	0.1	0.199	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0	0.1	0.1	0	0.1	0	0.1	0.1
PL	53.643	11.088	6.441	8.342	1.69	3.801	1.69	0.211	3.062	0.634	1.69	0.739	0.211	1.162	0.845	0.95	0.739	0.106	0.528	0.211	0.528	0.422	0.422	0.106	0.211	0.317	0.317	0.317	0.211	0.211	0.106	0.211	0.211	0.211	0.106	0.211	0.106	0.211	0.106	0.106	0.106	0.106	0.106	0.106	0.106	0	0.106	0.106	0	0.106	0	0	0
KO	54.325	11.076	6.118	8.228	1.793	3.797	1.688	0.211	3.059	0.633	1.793	0.738	0.211	1.16	0.844	0.949	0.527	0.105	0.527	0.211	0.527	0.422	0.422	0.105	0.211	0.316	0.316	0.211	0.316	0.105	0.105	0.211	0.211	0.211	0.105	0.211	0.105	0.211	0.105	0.105	0.105	0.105	0.105	0.105	0.105	0	0.105	0.105	0	0.105	0	0	0
JP	54.057	11.064	6.322	8.43	1.791	3.688	1.686	0.211	3.056	0.632	1.791	0.738	0.211	1.159	0.843	0.843	0.738	0.105	0.527	0.211	0.527	0.421	0.421	0.105	0.211	0.316	0.316	0.316	0.211	0.105	0.105	0.211	0.211	0.211	0.105	0.211	0.105	0.211	0.105	0.105	0.105	0.105	0.105	0.105	0.105	0	0.105	0.105	0	0.105	0	0	0
ES	48.718	10.15	14.85	7.479	2.03	3.632	1.282	0.214	2.671	0.321	1.496	0.534	1.709	0.855	0.855	0.748	0.321	0.107	0.534	0.214	0.534	0.214	0.427	0.321	0.214	0.214	0.107	0.214	0.107	0.214	0.107	0.214	0.107	0.107	0.107	0.214	0.107	0.107	0.107	0	0.107	0	0	0.107	0.107	0	0.107	0	0	0.107	0.107	0	0
