Edition	Total	Wikidata items	NOT-Wikidata items	OAW-Wikidata items	% Wikidata items
NL	1000	949	51	34	94.9
NO	1038	989	49	28	95.28
HU	940	902	38	28	95.96
RU	995	947	48	29	95.18
RO	1001	950	51	31	94.91
DK	1062	1004	58	33	94.54
PL	997	947	50	30	94.98
KO	993	948	45	27	95.47
JP	997	949	48	28	95.19
ES	998	936	62	25	93.79
IT	1000	949	51	27	94.9
FR	1001	952	49	24	95.1
DE	990	945	45	31	95.45
CZ	998	951	47	28	95.29
PT	998	951	47	27	95.29
ZH	995	950	45	28	95.48
EN-2006	999	955	44	30	95.6
EN-2008	1001	952	49	30	95.1
EN-2010	1001	953	48	29	95.2
EN-2012	1001	954	47	29	95.3
EN-2018	1003	957	46	29	95.41
ALL-EN	705	679	26	18	96.31
ANY-EN	1316	1250	66	41	94.98
NOT-EN	1713	1589	124	56	92.76
ONLY-NOT-EN	402	342	60	16	85.07
ONLY-EN	5	3	2	1	60.0
MICROCANON	522	511	11	8	97.89
MACROCANON	1718	1592	126	57	92.67
