	NL	NO	HU	RU	RO	DK	PL	KO	JP	ES	IT	FR	DE	CZ	PT	ZH	EN-2006	EN-2008	EN-2010	EN-2012	EN-2018	ALL-EN	ANY-EN	NOT-EN	ONLY-NOT-EN	ONLY-EN	MICROCANON	MACROCANON
NL	1000	921	670	905	910	941	929	946	944	821	901	869	676	931	889	918	684	930	935	945	952	678	958	1000	42	0	522	1000
NO	921	1038	690	972	979	955	978	945	955	833	949	885	710	963	918	947	718	979	968	956	950	685	998	1038	40	0	522	1038
HU	670	690	940	701	703	688	697	687	691	640	686	655	927	697	676	688	938	700	698	693	691	688	940	940	0	0	522	940
RU	905	972	701	995	990	935	955	928	938	833	929	884	723	944	903	928	730	954	949	940	934	696	974	995	21	0	522	995
RO	910	979	703	990	1001	942	961	934	944	835	936	888	725	949	908	933	733	959	954	945	939	699	979	1001	22	0	522	1001
DK	941	955	688	935	942	1062	966	972	985	844	931	902	696	974	927	957	704	968	978	987	977	697	994	1062	68	0	522	1062
PL	929	978	697	955	961	966	997	959	969	834	957	893	710	976	929	959	717	992	981	970	964	701	995	997	2	0	522	997
KO	946	945	687	928	934	972	959	993	977	837	925	897	694	964	917	951	702	961	968	980	987	697	991	993	2	0	522	993
JP	944	955	691	938	944	985	969	977	997	848	934	906	699	976	929	959	707	971	980	991	982	699	997	997	0	0	522	997
ES	821	833	640	833	835	844	834	837	848	998	824	818	646	840	810	828	654	836	844	854	847	643	867	998	131	0	522	998
IT	901	949	686	929	936	931	957	925	934	824	1000	890	697	947	905	932	705	963	952	941	935	685	969	1000	31	0	522	1000
FR	869	885	655	884	888	902	893	897	906	818	890	1001	663	895	863	885	670	892	900	909	901	657	923	1001	78	0	522	1001
DE	676	710	927	723	725	696	710	694	699	646	697	663	990	704	682	696	988	711	706	700	698	695	990	990	0	0	522	990
CZ	931	963	697	944	949	974	976	964	976	840	947	895	704	998	945	975	713	985	996	984	975	704	997	998	1	0	522	998
PT	889	918	676	903	908	927	929	917	929	810	905	863	682	945	998	930	690	938	949	936	928	679	951	998	47	0	522	998
ZH	918	947	688	928	933	957	959	951	959	828	932	885	696	975	930	995	704	968	979	969	961	692	984	995	11	0	522	995
EN-2006	684	718	938	730	733	704	717	702	707	654	705	670	988	713	690	704	999	719	714	708	706	705	999	999	0	0	522	999
EN-2008	930	979	700	954	959	968	992	961	971	836	963	892	711	985	938	968	719	1001	990	978	972	705	1001	1001	0	0	522	1001
EN-2010	935	968	698	949	954	978	981	968	980	844	952	900	706	996	949	979	714	990	1001	988	979	705	1001	1001	0	0	522	1001
EN-2012	945	956	693	940	945	987	970	980	991	854	941	909	700	984	936	969	708	978	988	1001	991	705	1001	1001	0	0	522	1001
EN-2018	952	950	691	934	939	977	964	987	982	847	935	901	698	975	928	961	706	972	979	991	1003	705	1003	999	0	4	522	1003
ALL-EN	678	685	688	696	699	697	701	697	699	643	685	657	695	704	679	692	705	705	705	705	705	705	0	0	0	0	0	0
ANY-EN	958	998	940	974	979	994	995	991	997	867	969	923	990	997	951	984	999	1001	1001	1001	1003	0	1316	0	0	0	0	0
NOT-EN	1000	1038	940	995	1001	1062	997	993	997	998	1000	1001	990	998	998	995	999	1001	1001	1001	999	0	0	1713	0	0	0	0
ONLY-NOT-EN	42	40	0	21	22	68	2	2	0	131	31	78	0	1	47	11	0	0	0	0	0	0	0	0	402	0	0	0
ONLY-EN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0
MICROCANON	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	522	0	0	0	0	0	522	0
MACROCANON	1000	1038	940	995	1001	1062	997	993	997	998	1000	1001	990	998	998	995	999	1001	1001	1001	1003	0	0	0	0	0	0	1718
