Edition	Total	Male	% Male	Female	% Female	Others	% Others	Anonymous	% Anonymous
NL	 949	 768	 80.93	 187	 19.7	 1	 0.11	 3	 0.32
NO	 989	 810	 81.9	 185	 18.71	 0	 0.0	 4	 0.4
HU	 902	 730	 80.93	 180	 19.96	 0	 0.0	 1	 0.11
RU	 947	 783	 82.68	 170	 17.95	 0	 0.0	 3	 0.32
RO	 950	 788	 82.95	 169	 17.79	 0	 0.0	 3	 0.32
DK	 1004	 817	 81.37	 192	 19.12	 0	 0.0	 5	 0.5
PL	 947	 773	 81.63	 181	 19.11	 0	 0.0	 3	 0.32
KO	 948	 761	 80.27	 193	 20.36	 1	 0.11	 3	 0.32
JP	 949	 771	 81.24	 185	 19.49	 0	 0.0	 3	 0.32
ES	 936	 781	 83.44	 160	 17.09	 0	 0.0	 3	 0.32
IT	 949	 777	 81.88	 180	 18.97	 0	 0.0	 3	 0.32
FR	 952	 783	 82.25	 175	 18.38	 0	 0.0	 3	 0.32
DE	 945	 766	 81.06	 187	 19.79	 0	 0.0	 1	 0.11
CZ	 951	 773	 81.28	 185	 19.45	 0	 0.0	 3	 0.32
PT	 951	 781	 82.12	 177	 18.61	 0	 0.0	 3	 0.32
ZH	 950	 772	 81.26	 185	 19.47	 0	 0.0	 3	 0.32
EN-2006	 955	 773	 80.94	 190	 19.9	 0	 0.0	 1	 0.1
EN-2008	 952	 776	 81.51	 183	 19.22	 0	 0.0	 3	 0.32
EN-2010	 953	 775	 81.32	 185	 19.41	 0	 0.0	 3	 0.31
EN-2012	 954	 773	 81.03	 188	 19.71	 0	 0.0	 3	 0.31
EN-2018	 957	 772	 80.67	 191	 19.96	 1	 0.1	 3	 0.31
ALL-EN	 679	 557	 82.03	 129	 19.0	 0	 0.0	 1	 0.15
ANY-EN	 1250	 999	 79.92	 258	 20.64	 1	 0.08	 3	 0.24
NOT-EN	 1589	 1306	 82.19	 289	 18.19	 1	 0.06	 6	 0.38
ONLY-NOT-EN	 342	 309	 90.35	 32	 9.36	 0	 0.0	 3	 0.88
ONLY-EN	 3	 2	 66.67	 1	 33.33	 0	 0.0	 0	 0.0
MICROCANON	 511	 420	 82.19	 96	 18.79	 0	 0.0	 1	 0.2
MACROCANON	 1592	 1308	 82.16	 290	 18.22	 1	 0.06	 6	 0.38
