	NL	NO	HU	RU	RO	DK	PL	KO	JP	ES	IT	FR	DE	CZ	PT	ZH	EN-2006	EN-2008	EN-2010	EN-2012	EN-2018	ALL-EN	ANY-EN	NOT-EN	ONLY-NOT-EN	ONLY-EN	MICROCANON	MACROCANON
NL	100.0	92.94	67.97	91.36	91.78	94.84	93.57	95.68	95.26	83.25	91.15	88.09	68.39	94.1	89.99	92.73	69.34	93.78	94.31	95.47	96.31	68.91	96.63	100.0	3.37	0.0	53.85	100.0
NO	89.18	100.0	67.14	93.73	94.24	92.01	94.03	91.3	92.01	80.69	91.51	85.74	68.86	93.02	88.88	91.51	69.77	94.24	93.33	92.21	91.81	66.84	96.06	100.0	3.94	0.0	51.67	100.0
HU	71.51	73.61	100.0	74.61	74.83	73.28	74.17	73.39	73.73	68.51	73.28	69.96	98.56	74.39	72.28	73.39	99.78	74.5	74.39	73.84	73.73	73.39	100.0	100.0	0.0	0.0	56.65	100.0
RU	91.55	97.89	71.07	100.0	99.47	94.19	95.99	93.77	94.51	84.16	93.56	89.33	73.07	95.25	91.24	93.66	73.92	95.88	95.56	94.72	94.3	70.75	97.89	100.0	2.11	0.0	53.96	100.0
RO	91.68	98.11	71.05	99.16	100.0	94.42	96.11	93.89	94.63	84.11	93.89	89.37	72.95	95.37	91.37	93.79	73.89	96.0	95.68	94.84	94.42	70.84	97.89	100.0	2.11	0.0	53.79	100.0
DK	89.64	90.64	65.84	88.84	89.34	100.0	91.53	92.43	93.43	80.48	88.55	85.96	66.43	92.53	88.25	90.94	67.33	91.83	92.73	93.73	92.93	66.83	94.22	100.0	5.78	0.0	50.9	100.0
PL	93.77	98.2	70.64	95.99	96.41	97.04	100.0	96.62	97.36	84.27	96.3	90.18	71.7	98.31	93.77	96.62	72.54	99.58	98.63	97.57	97.15	71.28	99.79	100.0	0.21	0.0	53.96	100.0
KO	95.78	95.25	69.83	93.67	94.09	97.89	96.52	100.0	98.42	84.7	93.46	90.72	70.36	97.26	92.72	95.78	71.31	96.84	97.47	98.73	99.47	70.89	99.79	100.0	0.21	0.0	53.9	100.0
JP	95.26	95.89	70.07	94.31	94.73	98.84	97.15	98.31	100.0	85.56	93.99	91.36	70.71	98.1	93.57	96.42	71.65	97.47	98.31	99.58	98.84	71.02	100.0	100.0	0.0	0.0	53.85	100.0
ES	84.4	85.26	66.03	85.15	85.36	86.32	85.26	85.79	86.75	100.0	84.08	83.65	66.56	86.0	82.8	84.83	67.52	85.47	86.22	87.39	86.75	66.35	88.68	100.0	11.32	0.0	54.59	100.0
IT	91.15	95.36	69.65	93.36	93.99	93.68	96.1	93.36	93.99	82.93	100.0	89.67	70.6	95.47	91.36	93.99	71.55	96.73	95.79	94.73	94.31	69.76	97.37	100.0	2.63	0.0	53.85	100.0
FR	87.82	89.08	66.28	88.87	89.18	90.65	89.71	90.34	91.07	82.25	89.39	100.0	66.91	90.13	86.97	89.08	67.75	89.71	90.44	91.39	90.76	66.6	92.75	100.0	7.25	0.0	53.68	100.0
DE	68.68	72.06	94.07	73.23	73.33	70.58	71.85	70.58	71.01	65.93	70.9	67.41	100.0	71.75	69.52	70.79	99.89	72.06	71.75	71.11	71.01	70.79	100.0	100.0	0.0	0.0	54.07	100.0
CZ	93.9	96.74	70.56	94.85	95.27	97.69	97.9	96.95	97.9	84.65	95.27	90.22	71.29	100.0	95.16	98.0	72.24	98.84	99.89	98.74	98.0	71.4	100.0	100.0	0.0	0.0	53.73	100.0
PT	89.8	92.43	68.56	90.85	91.27	93.17	93.38	92.43	93.38	81.49	91.17	87.07	69.09	95.16	100.0	93.69	70.03	94.32	95.37	94.11	93.48	68.98	95.58	100.0	4.42	0.0	53.73	100.0
ZH	92.63	95.26	69.68	93.37	93.79	96.11	96.32	95.58	96.32	83.58	93.89	89.26	70.42	98.11	93.79	100.0	71.37	97.26	98.32	97.26	96.53	70.21	98.84	100.0	1.16	0.0	53.79	100.0
EN-2006	68.9	72.25	94.24	73.3	73.51	70.79	71.94	70.79	71.2	66.18	71.1	67.54	98.85	71.94	69.74	70.99	100.0	72.25	71.94	71.31	71.2	71.1	100.0	100.0	0.0	0.0	53.51	100.0
EN-2008	93.49	97.9	70.59	95.38	95.8	96.85	99.05	96.43	97.16	84.03	96.43	89.71	71.53	98.74	94.22	97.06	72.48	100.0	99.05	97.9	97.48	71.32	100.0	100.0	0.0	0.0	53.68	100.0
EN-2010	93.91	96.85	70.41	94.96	95.38	97.69	98.01	96.96	97.9	84.68	95.38	90.35	71.14	99.69	95.17	98.01	72.09	98.95	100.0	98.74	98.01	71.25	100.0	100.0	0.0	0.0	53.62	100.0
EN-2012	94.97	95.6	69.81	94.03	94.44	98.64	96.86	98.11	99.06	85.74	94.23	91.19	70.44	98.43	93.82	96.86	71.38	97.69	98.64	100.0	99.16	71.17	100.0	100.0	0.0	0.0	53.56	100.0
EN-2018	95.51	94.88	69.49	93.31	93.73	97.49	96.13	98.54	98.01	84.85	93.52	90.28	70.11	97.39	92.89	95.82	71.06	96.97	97.6	98.85	100.0	70.95	100.0	99.69	0.0	0.31	53.4	100.0
ALL-EN	96.32	97.35	97.5	98.67	99.12	98.82	99.41	98.97	99.26	91.46	97.5	93.37	98.53	100.0	96.61	98.23	100.0	100.0	100.0	100.0	100.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
ANY-EN	73.36	76.0	72.16	74.16	74.4	75.68	75.6	75.68	75.92	66.4	73.92	70.64	75.6	76.08	72.72	75.12	76.4	76.16	76.24	76.32	76.56	0.0	100.0	0.0	0.0	0.0	0.0	0.0
