	NL	NO	HU	RU	RO	DK	PL	KO	JP	ES	IT	FR	DE	CZ	PT	ZH	EN-2006	EN-2008	EN-2010	EN-2012	EN-2018	ALL-EN	ANY-EN	NOT-EN	ONLY-NOT-EN	ONLY-EN	MICROCANON	MACROCANON
NL	949	882	645	867	871	900	888	908	904	790	865	836	649	893	854	880	658	890	895	906	914	654	917	949	32	0	511	949
NO	882	989	664	927	932	910	930	903	910	798	905	848	681	920	879	905	690	932	923	912	908	661	950	989	39	0	511	989
HU	645	664	902	673	675	661	669	662	665	618	661	631	889	671	652	662	900	672	671	666	665	662	902	902	0	0	511	902
RU	867	927	673	947	942	892	909	888	895	797	886	846	692	902	864	887	700	908	905	897	893	670	927	947	20	0	511	947
RO	871	932	675	942	950	897	913	892	899	799	892	849	693	906	868	891	702	912	909	901	897	673	930	950	20	0	511	950
DK	900	910	661	892	897	1004	919	928	938	808	889	863	667	929	886	913	676	922	931	941	933	671	946	1004	58	0	511	1004
PL	888	930	669	909	913	919	947	915	922	798	912	854	679	931	888	915	687	943	934	924	920	675	945	947	2	0	511	947
KO	908	903	662	888	892	928	915	948	933	803	886	860	667	922	879	908	676	918	924	936	943	672	946	948	2	0	511	948
JP	904	910	665	895	899	938	922	933	949	812	892	867	671	931	888	915	680	925	933	945	938	674	949	949	0	0	511	949
ES	790	798	618	797	799	808	798	803	812	936	787	783	623	805	775	794	632	800	807	818	812	621	830	936	106	0	511	936
IT	865	905	661	886	892	889	912	886	892	787	949	851	670	906	867	892	679	918	909	899	895	662	924	949	25	0	511	949
FR	836	848	631	846	849	863	854	860	867	783	851	952	637	858	828	848	645	854	861	870	864	634	883	952	69	0	511	952
DE	649	681	889	692	693	667	679	667	671	623	670	637	945	678	657	669	944	681	678	672	671	669	945	945	0	0	511	945
CZ	893	920	671	902	906	929	931	922	931	805	906	858	678	951	905	932	687	940	950	939	932	679	951	951	0	0	511	951
PT	854	879	652	864	868	886	888	879	888	775	867	828	657	905	951	891	666	897	907	895	889	656	909	951	42	0	511	951
ZH	880	905	662	887	891	913	915	908	915	794	892	848	669	932	891	950	678	924	934	924	917	667	939	950	11	0	511	950
EN-2006	658	690	900	700	702	676	687	676	680	632	679	645	944	687	666	678	955	690	687	681	680	679	955	955	0	0	511	955
EN-2008	890	932	672	908	912	922	943	918	925	800	918	854	681	940	897	924	690	952	943	932	928	679	952	952	0	0	511	952
EN-2010	895	923	671	905	909	931	934	924	933	807	909	861	678	950	907	934	687	943	953	941	934	679	953	953	0	0	511	953
EN-2012	906	912	666	897	901	941	924	936	945	818	899	870	672	939	895	924	681	932	941	954	946	679	954	954	0	0	511	954
EN-2018	914	908	665	893	897	933	920	943	938	812	895	864	671	932	889	917	680	928	934	946	957	679	957	954	0	3	511	957
ALL-EN	654	661	662	670	673	671	675	672	674	621	662	634	669	679	656	667	679	679	679	679	679	679	0	0	0	0	0	0
ANY-EN	917	950	902	927	930	946	945	946	949	830	924	883	945	951	909	939	955	952	953	954	957	0	1250	0	0	0	0	0
NOT-EN	949	989	902	947	950	1004	947	948	949	936	949	952	945	951	951	950	955	952	953	954	954	0	0	1589	0	0	0	0
ONLY-NOT-EN	32	39	0	20	20	58	2	2	0	106	25	69	0	0	42	11	0	0	0	0	0	0	0	0	342	0	0	0
ONLY-EN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0
MICROCANON	511	511	511	511	511	511	511	511	511	511	511	511	511	511	511	511	511	511	511	511	511	0	0	0	0	0	511	0
MACROCANON	949	989	902	947	950	1004	947	948	949	936	949	952	945	951	951	950	955	952	953	954	957	0	0	0	0	0	0	1592
